page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
1,1,Ford,Escape,2010.0,6000000,180000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-704
1,2,Renault,Megane,2008.0,1600000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1132
1,3,Opel,Astra,2003.0,2500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-1153
1,4,Peugeot,307,2007.0,2400000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1341
1,5,Citroen,C3,2008.0,2300000,128000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-610
1,6,Ford,Escape,2011.0,4000000,109400.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3738
1,7,Ford,Escort,2007.0,2700000,174000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escort-dakar-dakar-644
1,8,Nissan,Qashqai,2014.0,7800000,63000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-3432
1,9,Renault,19,2002.0,2100000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2726
1,10,Dacia,Logan,2009.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-2296
1,11,Peugeot,308,2009.0,2300000,311368.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1777
1,12,Ford,Escape,2006.0,4500000,120000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415
1,13,Citroen,C4,2008.0,2100000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2214
1,14,Citroen,Berlingo,2008.0,3300000,214000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2430
1,15,Renault,Scenic,2009.0,1300000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451
1,16,SsangYong,Kyron,2007.0,2000000,120000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ssangyong-kyron-dakar-dakar-1184
1,17,Land Rover,Range Rover Sport,2008.0,6000000,130000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-4197
1,18,Daewoo,Matiz,2009.0,3000000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-daewoo-matiz-dakar-dakar-672
1,19,Nissan,Altima,2012.0,3000000,130000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-3589
1,20,Peugeot,307,2008.0,2600000,250000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2371
2,1,Renault,Clio,2010.0,2700000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-653
2,2,Skoda,Fabia,2007.0,1800000,220000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-skoda-fabia-dakar-dakar-611
2,3,Volkswagen,Passat,2007.0,2000000,90000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-406
2,4,Toyota,Camry,2011.0,3800000,0.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-463
2,5,Kia,Soul,2010.0,3500000,172900.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-kia-soul-dakar-dakar-2469
2,6,Renault,Laguna,2007.0,2300000,84000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1895
2,7,Volkswagen,Passat,2007.0,2900000,265000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-3470
2,8,Peugeot,307,2007.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2047
